Date,Open,High,Low,Close,Adj Close,Volume
1/2/91,20.9596,21.857901,20.9596,21.857901,4.03116,0
1/3/91,20.9596,21.857901,20.9596,21.857901,4.03116,0
1/4/91,null,null,null,null,null,null
1/7/91,20.3608,21.259001,20.0613,21.109301,3.893099,0
1/8/91,null,null,null,null,null,null
1/9/91,21.259001,21.259001,20.0613,20.5105,3.782665,0
1/10/91,null,null,null,null,null,null
1/11/91,20.3608,20.9596,20.0613,20.9596,3.86549,0
1/14/91,20.6602,20.6602,20.0613,20.3608,3.755056,0
1/15/91,null,null,null,null,null,null
1/16/91,null,null,null,null,null,null
1/17/91,null,null,null,null,null,null
1/18/91,null,null,null,null,null,null
1/21/91,null,null,null,null,null,null
1/22/91,null,null,null,null,null,null
1/23/91,20.6602,20.6602,19.7619,20.0613,3.699821,0
1/24/91,19.7619,19.7619,19.4625,19.7619,3.644603,0
1/25/91,19.7619,19.7619,18.8636,19.163099,3.534169,0
1/28/91,null,null,null,null,null,null
1/29/91,null,null,null,null,null,null
1/30/91,null,null,null,null,null,null
1/31/91,20.0613,20.0613,19.312799,19.4625,3.589387,0
2/1/91,19.4625,19.7619,19.312799,19.7619,3.644603,0
2/4/91,20.3608,20.6602,19.7619,20.0613,3.699821,0
2/5/91,20.3608,20.3608,19.7619,20.0613,3.699821,0
2/6/91,20.0613,20.211,19.9116,20.0613,3.699821,0
2/7/91,19.163099,19.4625,19.0133,19.4625,3.589387,0
2/8/91,19.163099,19.312799,18.8636,18.8636,3.478934,0
2/11/91,18.564199,18.564199,17.815701,18.264799,3.3685,0
2/12/91,null,null,null,null,null,null
2/13/91,17.666,17.965401,17.216801,17.216801,3.175222,0
2/14/91,17.516199,17.965401,17.366501,17.516199,3.230439,0
2/15/91,17.815701,17.965401,17.067101,17.666,3.258065,0
2/18/91,null,null,null,null,null,null
2/19/91,19.7619,20.9596,19.7619,20.3608,3.755056,0
2/20/91,19.4625,19.9116,19.163099,19.9116,3.672212,0
2/21/91,20.5105,20.5105,19.7619,19.7619,3.644603,0
2/22/91,20.6602,20.9596,20.3608,20.6602,3.810273,0
2/25/91,null,null,null,null,null,null
2/26/91,20.9596,22.7561,20.6602,22.306999,4.113986,0
2/27/91,22.7561,23.205299,21.857901,23.055599,4.252047,0
2/28/91,22.9058,23.055599,22.456699,22.456699,4.141594,0
3/1/91,null,null,null,null,null,null
3/4/91,22.157301,22.7561,20.6602,22.456699,4.141594,0
3/5/91,22.157301,22.7561,22.157301,22.7561,4.196811,0
3/6/91,null,null,null,null,null,null
3/7/91,20.9596,21.857901,20.9596,21.857901,4.03116,0
3/8/91,21.109301,22.157301,20.9596,22.157301,4.086378,0
3/11/91,21.558399,21.857901,21.259001,21.7082,4.003551,0
3/12/91,21.558399,21.7082,20.9596,21.7082,4.003551,0
3/13/91,21.408701,21.857901,21.259001,21.7082,4.003551,0
3/14/91,null,null,null,null,null,null
3/15/91,21.259001,22.157301,21.259001,21.7082,4.003551,0
3/18/91,21.259001,21.558399,20.9596,21.259001,3.920709,0
3/19/91,null,null,null,null,null,null
3/20/91,20.9596,21.259001,20.0613,20.9596,3.86549,0
3/21/91,20.3608,21.109301,20.3608,20.9596,3.86549,0
3/22/91,21.259001,21.558399,20.6602,20.6602,3.810273,0
3/25/91,20.6602,20.9596,20.3608,20.9596,3.86549,0
3/26/91,20.3608,20.9596,20.3608,20.8099,3.837882,0
3/27/91,20.6602,21.259001,20.6602,20.6602,3.810273,0
3/28/91,null,null,null,null,null,null
3/29/91,null,null,null,null,null,null
4/1/91,20.9596,21.558399,20.9596,21.558399,3.975924,0
4/2/91,21.857901,22.456699,21.857901,22.456699,4.141594,0
4/3/91,22.456699,23.055599,22.306999,22.7561,4.196811,0
4/4/91,22.157301,22.9058,22.157301,22.9058,4.22442,0
4/5/91,22.7561,24.2533,22.7561,24.1035,4.445306,0
4/8/91,25.151501,25.6007,24.8521,25.450899,4.693802,0
4/9/91,25.151501,26.349199,25.151501,25.450899,4.693802,0
4/10/91,null,null,null,null,null,null
4/11/91,25.450899,25.900101,25.450899,25.900101,4.776646,0
4/12/91,26.7983,27.5469,26.6486,26.7983,4.942298,0
4/15/91,27.5469,28.1457,27.097799,27.247499,5.025141,0
4/16/91,27.5469,27.5469,26.049801,26.7983,4.942298,0
4/17/91,null,null,null,null,null,null
4/18/91,26.349199,27.097799,25.900101,26.6486,4.91469,0
4/19/91,26.6486,27.3972,26.6486,26.948,4.969905,0
4/22/91,26.948,27.3972,26.6486,27.247499,5.025141,0
4/23/91,26.7983,27.097799,26.6486,26.948,4.969905,0
